h;agg
1534;584,857045721
1535;581,200649492
1536;579,169874638
1537;575,440804219
1538;574,869989634
1539;575,912631388
1540;576,505633757
1541;572,49252576
1542;571,322171886
1543;575,383331542
1544;582,693323991
1545;590,747338082
1546;592,970936943
1547;596,229182939
1548;596,229182939
1549;599,231490955
1550;603,745824715
1551;607,861424536
1552;609,650628783
1553;608,912339383
1554;603,28969389
1555;591,611526116
1556;574,104588663
1557;553,434714416
1558;532,154211336
1559;509,970702156
1560;493,421306301
1561;478,89900096
1562;468,826608668
1563;459,314438457
1564;448,921648631
1565;438,230086115
1566;434,723579214
1567;428,404896388
1568;421,243707517
1569;412,659421396
1570;410,454273751
1571;410,454273751
1572;410,351973075
1573;407,279094915
1574;403,6430548
1575;402,912471818
1576;406,290074475
1577;403,031828479
1578;403,031828479
1579;400,029520463
1580;395,411442128
1581;391,295842307
1582;389,50663806
1583;389,455729109
1584;389,455729109
1585;389,455729109
1586;389,58920703
1587;392,223656456
1588;393,977131789
1589;395,793121184
1590;395,793121184
1591;395,793121184
1592;395,793121184
1593;395,793121184
1594;395,793121184
1595;395,793121184
1596;391,993586563
1597;390,711740074
1598;392,94073066
1599;396,835431122
1600;398,801871937
